Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,Small electric household appliances,"Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,TSD,TSD03,03.1.1,03.1.2,03.1.3,03.2.1,TSD05,05.2,05.3.2,05.4,05.5.2,TSD07,07.2.1,TSD09,09.1.4,09.3.1,09.3.2,09.5.1,TSD12,12.1.2,12.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,UTIQ,LLJL,ADUQ,ADUR,ADUS,ADUV,LLJM,ADGG,ADVQ,ADGM,ADVT,LLJN,AWTV,LLJO,ADWT,ADWY,ADWZ,CDEO,LLJP,ADXR,ADXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Q2,"21,428","11,694",84,"9,125",807,"1,678","3,105","1,239",171,921,774,"1,078","1,078","4,919","1,002","2,122","1,106",689,632,68,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Q3,"22,298","11,982",79,"9,280",844,"1,779","3,161","1,251",229,951,730,"1,143","1,143","5,227","1,044","2,238","1,149",796,785,97,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Q4,"27,780","14,961",78,"11,624","1,113","2,146","3,761","1,476",342,"1,147",796,"1,169","1,169","6,885","1,651","2,765","1,228","1,241","1,004",147,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q1,"20,090","10,857",72,"8,498",802,"1,485","3,104","1,040",253,"1,028",783,"1,162","1,162","4,352","1,015","1,853",825,659,615,77,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q2,"21,865","12,313",68,"9,538",924,"1,783","3,236",965,306,"1,070",895,993,993,"4,598","1,021","1,872","1,084",621,725,120,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q3,"22,231","12,451",66,"9,611",931,"1,843","3,089",940,262,"1,054",833,"1,054","1,054","4,919","1,061","2,010","1,160",688,718,95,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q4,"28,439","15,802",52,"12,260","1,232","2,258","3,883","1,112",483,"1,275","1,013","1,072","1,072","6,613","1,560","2,569","1,303","1,181","1,069",266,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q1,"20,444","11,270",54,"8,656",893,"1,667","3,358",902,353,"1,130",973,"1,084","1,084","4,076",965,"1,648",825,638,656,93,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q2,"22,048","12,447",51,"9,510",987,"1,899","3,457",959,183,"1,221","1,094","1,147","1,147","4,272",990,"1,723","1,006",553,725,144,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q3,"22,960","12,847",46,"9,806",959,"2,036","3,386",948,220,"1,199","1,019","1,214","1,214","4,802","1,106","1,837","1,214",645,711,104,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
